,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
96,Love in Tokyo,7,68VpbeVBKffSR7LK7zL1Nb,Hymn for the Weekend - Live,spotify:track:68VpbeVBKffSR7LK7zL1Nb,0.00451,0.416,0.769,0.0192,0.91,-6.703,0.0409,90.034,0.413,11
97,Love in Tokyo,8,5US1KwaMM5EkH9RThcX25u,Fix You - Live,spotify:track:5US1KwaMM5EkH9RThcX25u,0.0133,0.261,0.54,0.392,0.461,-9.173,0.0344,140.11,0.0817,12
98,Love in Tokyo,9,3fFH0oyosweyLnFLfUAV5h,Viva La Vida - Live,spotify:track:3fFH0oyosweyLnFLfUAV5h,0.00199,0.451,0.905,0.0411,0.196,-7.154,0.0664,137.953,0.14,15
99,Love in Tokyo,10,21rlsFc8Dv1Vo5EYGkgzT2,Adventure of a Lifetime - Live,spotify:track:21rlsFc8Dv1Vo5EYGkgzT2,0.000602,0.506,0.935,0.000173,0.938,-6.455,0.0627,112.031,0.341,11
100,Love in Tokyo,11,5uGINDoIem5LRsV182tl06,Us Against the World - Live,spotify:track:5uGINDoIem5LRsV182tl06,0.4,0.233,0.52,0.0116,0.955,-9.919,0.0324,111.451,0.0866,9
101,Love in Tokyo,12,3ljoRKFqQM2S2DMebq7ktf,Something Just like That - Live,spotify:track:3ljoRKFqQM2S2DMebq7ktf,0.000804,0.427,0.797,0.00594,0.424,-7.685,0.0442,102.943,0.161,13
102,Love in Tokyo,13,71P3wgiqJ2ZyaohY7UlDUk,A Sky Full of Stars - Live,spotify:track:71P3wgiqJ2ZyaohY7UlDUk,0.0102,0.375,0.747,1.39e-05,0.757,-6.261,0.0378,125.009,0.241,13
103,Love in Tokyo,14,3ilTIS9N6zPF5AykezFX2C,Up&Up - Live,spotify:track:3ilTIS9N6zPF5AykezFX2C,0.00482,0.0973,0.779,0.0115,0.195,-6.74,0.0757,72.528,0.117,11
104,A Head Full of Dreams,1,6f49kbOuQSOsStBpyGvQfA,A Head Full of Dreams,spotify:track:6f49kbOuQSOsStBpyGvQfA,0.002,0.45,0.92,0.0201,0.334,-4.982,0.0733,122.979,0.0773,66
105,A Head Full of Dreams,2,3HWDWyIqWuLsTHECx9DvXF,Birds,spotify:track:3HWDWyIqWuLsTHECx9DvXF,0.000315,0.559,0.841,0.45,0.0816,-5.584,0.0334,105.009,0.15,62
106,A Head Full of Dreams,3,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.255,0.49,0.743,7.21e-06,0.3,-5.155,0.0409,89.974,0.363,77
107,A Head Full of Dreams,4,5qfZRNjt2TkHEL12r3sDEU,Everglow,spotify:track:5qfZRNjt2TkHEL12r3sDEU,0.456,0.535,0.445,0.0677,0.112,-9.155,0.0292,146.099,0.136,68
108,A Head Full of Dreams,5,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,spotify:track:69uxyAqqPIsUyTO8txoP2M,0.00205,0.638,0.924,0.000173,0.149,-3.887,0.0359,111.995,0.529,74
109,A Head Full of Dreams,6,7fJFDK6XjYsXcMKNHESbot,Fun (feat. Tove Lo),spotify:track:7fJFDK6XjYsXcMKNHESbot,0.271,0.484,0.735,7.49e-06,0.0853,-5.125,0.0354,134.028,0.217,60
110,A Head Full of Dreams,7,7IX7VAXujvcZ3e1PG7sGP7,Kaleidoscope,spotify:track:7IX7VAXujvcZ3e1PG7sGP7,0.964,0.288,0.285,0.898,0.406,-18.192,0.0355,127.122,0.148,53
111,A Head Full of Dreams,8,4giCxIFPZNQIP4bIZM4sqH,Army of One,spotify:track:4giCxIFPZNQIP4bIZM4sqH,0.274,0.387,0.66,5.97e-05,0.0861,-6.491,0.0434,146.04,0.289,57
112,A Head Full of Dreams,9,3wtV2ifnHzirkAElgTGh63,Amazing Day,spotify:track:3wtV2ifnHzirkAElgTGh63,0.0172,0.45,0.638,0.432,0.141,-5.795,0.0273,96.988,0.292,58
113,A Head Full of Dreams,10,3VqiD8Yvk6bKwqS1e64PHB,Colour Spectrum,spotify:track:3VqiD8Yvk6bKwqS1e64PHB,0.852,0.348,0.166,0.915,0.137,-20.349,0.0377,123.576,0.0336,52
114,A Head Full of Dreams,11,31L9yLXSj6LpCFupyMV6CR,Up&Up,spotify:track:31L9yLXSj6LpCFupyMV6CR,0.0485,0.48,0.718,0.000343,0.102,-5.461,0.0603,163.987,0.252,69
115,A Head Full of Dreams Tour Edition,1,32kkgDF3INcwS6qs6ILplZ,A Head Full of Dreams,spotify:track:32kkgDF3INcwS6qs6ILplZ,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,0.0772,20
116,A Head Full of Dreams Tour Edition,2,3R34ORJaGjmAcQK5sfgmQ0,Birds,spotify:track:3R34ORJaGjmAcQK5sfgmQ0,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,0.147,18
117,A Head Full of Dreams Tour Edition,3,3Jqgu4nVb0oQTGmObR097r,Hymn for the Weekend,spotify:track:3Jqgu4nVb0oQTGmObR097r,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,0.412,23
118,A Head Full of Dreams Tour Edition,4,2eUDgLm67Itf6vEYK1L9wf,Everglow,spotify:track:2eUDgLm67Itf6vEYK1L9wf,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,0.136,21
119,A Head Full of Dreams Tour Edition,5,17ZmrriLHd1RnaFBp6c7UI,Adventure of a Lifetime,spotify:track:17ZmrriLHd1RnaFBp6c7UI,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,0.53,23
120,A Head Full of Dreams Tour Edition,6,0SREKu7J3D8Uw7qyl2OCMb,Fun (feat. Tove Lo),spotify:track:0SREKu7J3D8Uw7qyl2OCMb,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,0.216,18
121,A Head Full of Dreams Tour Edition,7,0KxEJcGUaW7b6GpPNPL7gH,Kaleidoscope,spotify:track:0KxEJcGUaW7b6GpPNPL7gH,0.964,0.288,0.285,0.897,0.406,-18.193,0.0355,127.122,0.148,14
